name,image,rank,url
K Shanmugam,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/K_Shanmugam_crop.jpg/1200px-K_Shanmugam_crop.jpg,887,https://www.youtube.com/watch?v=f6vNQhY-sYw&ab_channel=KShanmugam
Cheng Li Hui,https://i.imgur.com/h02jxP6.jpg,865,https://www.instagram.com/cheng_lihui/
Cheryl Chan Wei Ling,https://s3-ap-southeast-1.amazonaws.com/pap-dr-wp/2020/04/Cheryl-Chan.jpg,1140,https://www.instagram.com/cherylchan.fengshan/
Desmond Choo,https://mustsharenews.com/wp-content/uploads/2020/06/singapore-8-3.jpg,1003,https://www.instagram.com/desmond.choo/
Lim Biow Chuan,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Lim_Biow_Chuan.jpg/220px-Lim_Biow_Chuan.jpg,1008,https://en.wikipedia.org/wiki/Lim_Biow_Chuan
Chan Chun Sing,https://www.parliament.gov.sg/images/default-source/default-album/chan-chun-sing-new.jpg?sfvrsn=f99f4c08_0,962,https://www.facebook.com/ChanChunSing.SG/posts/3227396103979017
Baey Yam Keng,https://pbs.twimg.com/media/Ea1bLSxXYAAzFUq.jpg,1025,https://www.instagram.com/baeyyamkeng/
Chee Hong Tat,https://www.mot.gov.sg/images/default-source/mot/about-mot/sms-chee-hong-tat2.jpg?sfvrsn=949f7237_2,975,https://www.instagram.com/hongtatchee/
Ong Ye Kung,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Ongyekung.jpg/200px-Ongyekung.jpg,1044,https://www.instagram.com/ongyekung/
Gan Siow Huang,https://www.giving.sg/image/logo?img_id=11689556,1136,https://www.instagram.com/siowhuang_gan/
Louis Ng Kok Kwang,https://scontent.fsin5-1.fna.fbcdn.net/v/t39.30808-6/226309903_402326884588390_4114844801287022804_n.jpg?_nc_cat=102&ccb=1-4&_nc_sid=09cbfe&_nc_ohc=ot2uplNJrroAX-Nygx0&tn=8KHdwQmcSAZpIdbI&_nc_ht=scontent.fsin5-1.fna&oh=a9c665be67cf52c1cb68925e088b5a34&oe=611A9F28,1106,https://www.instagram.com/louisngkokkwang/
Sylvia Lim,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Sylvia_Lim_4_%28cropped%29.jpg/220px-Sylvia_Lim_4_%28cropped%29.jpg,983,https://www.instagram.com/sylvialim65/
Desmond Lee,https://s3-ap-southeast-1.amazonaws.com/pap-dr-wp/2020/04/Desmond-Lee.jpg,933,https://www.instagram.com/desmond.lee/
Lee Hsien Loong,https://flying-dutchman.net/wp-content/uploads/2020/07/Lee-Hsien-Loong-.jpg,1080,https://www.instagram.com/leehsienloong/
Heng Swee Keat,https://upload.wikimedia.org/wikipedia/commons/0/01/Heng_Swee_Keat.jpg,995,https://www.instagram.com/hengsweekeat/
Chong Kee Hiong,https://www.capitaland.com/content/dam/capitaland-newsroom/inside/2013/03/mar13_01_leaders.jpg.transform/cap-midres/image.jpg,1059,https://www.instagram.com/chongkeehiong/
Indranee Rajah,https://upload.wikimedia.org/wikipedia/commons/b/b6/Indranee_Rajah_%284x5%29.jpg,1113,https://www.instagram.com/indraneerajah/?hl=en
Liang Eng Hwa,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Liang_Eng_Hwa_2.jpg/220px-Liang_Eng_Hwa_2.jpg,1000,https://en.wikipedia.org/wiki/Liang_Eng_Hwa
Jamus Jerome Lim,https://upload.wikimedia.org/wikipedia/commons/4/44/Jamus_Lim_3_%28cropped%29.jpg,1000,https://www.instagram.com/jamuslim/
Gan Kim Yong,https://s3-ap-southeast-1.amazonaws.com/pap-dr-wp/2020/04/Gan-Kim-Yong.jpg,921,https://mothership.sg/2021/06/lawrence-wong-responds-to-press-con-meme/
Edward Chia Bing Hui,https://hypeandstuff.com/wp-content/uploads/2020/06/Edward-Chia-Bing-Hui.jpg,892,https://www.instagram.com/edward.chiasg/
Lim Wee Kiak,https://upload.wikimedia.org/wikipedia/commons/2/2f/Lim_Wee_Kiak.jpg,984,https://en.wikipedia.org/wiki/Lim_Wee_Kiak
Eric Chua,https://scontent.fsin5-1.fna.fbcdn.net/v/t1.6435-9/118226695_260764512310013_8100016171657110675_n.jpg?_nc_cat=108&ccb=1-4&_nc_sid=8bfeb9&_nc_ohc=Dukr1fnYUKEAX86fgYS&_nc_ht=scontent.fsin5-1.fna&oh=63e2e5cd10a48cb4ff4d9610b446d19d&oe=6138E9F2,1135,https://www.instagram.com/ericchuasl.sg/
Janil Puthucheary,https://s3-ap-southeast-1.amazonaws.com/pap-dr-wp/2020/04/Janil-Puthucheary.jpg,1002,https://www.facebook.com/JPuthucheary/
Tin Pei Ling,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Tin_Pei_Ling.jpg/220px-Tin_Pei_Ling.jpg,1188,https://www.straitstimes.com/politics/ge2020-results-tin-pei-ling-retains-macpherson-with-7174-of-votes-against-ppp
Shawn Huang Wei Zhong,https://upload.wikimedia.org/wikipedia/commons/b/b5/Shawn_Huang.jpg,1016,https://www.instagram.com/shawnhuangweizhong/
He Ting Ru,https://upload.wikimedia.org/wikipedia/commons/b/bc/He_Ting_Ru_3_%28cropped%29.jpg,1011,https://www.facebook.com/watch/?v=321971562298343
Grace Fu,https://www.parliament.gov.sg/images/default-source/default-album/min-grace-fu_biz-suit-parl-(2018-05-16)579824dbcb5f64e2b198ff00006af031.jpg?sfvrsn=64c74008_0,920,https://www.instagram.com/gracefu.hy/
Derrick Goh,https://www.dbs.com/annualreports/2018/assets/images/gmc/derrick-goh.png,997,https://www.instagram.com/derrickgohsh/
Christopher de Souza,https://scontent.fsin5-1.fna.fbcdn.net/v/t1.6435-9/69546650_2644584708893313_6609143211782832128_n.jpg?_nc_cat=105&ccb=1-4&_nc_sid=730e14&_nc_ohc=8-ccMfefbVcAX9b2J8E&_nc_ht=scontent.fsin5-1.fna&oh=591cc377aaece03d449670869f43797d&oe=613A4F6F,886,https://www.instagram.com/chrisdesouza.up/
S Iswaran,https://theindependent.sg/wp-content/uploads/2019/04/Screen-Shot-2019-04-15-at-2.24.41-PM-1.png,1016,https://en.wikipedia.org/wiki/S._Iswaran
Kwek Henry,https://pap-dr-wp.s3.ap-southeast-1.amazonaws.com/2020/07/24093201/Henry-Kwek.jpg,968,https://www.instagram.com/henrykweksg/
Chua Kheng Wee Louis,https://scontent.fsin5-1.fna.fbcdn.net/v/t1.6435-9/206212123_222169109728687_5953681485779553111_n.jpg?_nc_cat=110&ccb=1-4&_nc_sid=09cbfe&_nc_ohc=z4A8s-mcIPoAX-3E1as&_nc_ht=scontent.fsin5-1.fna&oh=0bf38b7dae4d510c91c15d81783eafe2&oe=613C92CE,884,https://www.instagram.com/chuakhengwee/
Foo Mee Har,https://scontent.fsin5-1.fna.fbcdn.net/v/t1.6435-9/174227791_5557900500916895_3157237650305033810_n.jpg?_nc_cat=101&ccb=1-4&_nc_sid=09cbfe&_nc_ohc=pL944QPULgIAX9CuRlz&_nc_ht=scontent.fsin5-1.fna&oh=e6eeda2c8878c8207a4c870209547935&oe=613C5547,884,https://en.wikipedia.org/wiki/Foo_Mee_Har
Koh Poh Koon,https://www.parliament.gov.sg/images/default-source/default-album/kpk-suit.jpg?sfvrsn=d3674c08_0,1000,https://en.wikipedia.org/wiki/Koh_Poh_Koon
Darryl David,https://s3-ap-southeast-1.amazonaws.com/pap-dr-wp/2020/04/Darryl-David.jpg,973,https://www.instagram.com/ericchuasl.sg/
Gerald Giam,http://geraldgiam.sg/wp-content/uploads/20200208_Jewel3.jpg,837,https://www.linkedin.com/in/geraldgiam/?originalSubdomain=sg
Gan Thiam Poh,https://s3-ap-southeast-1.amazonaws.com/pap-dr-wp/2020/04/Gan-Thiam-Poh.jpg,961,https://www.instagram.com/ganthiam/
Heng Chee How,https://s3-ap-southeast-1.amazonaws.com/pap-dr-wp/2020/04/Heng-Chee-How.jpg,999,https://www.mindef.gov.sg/web/portal/mindef/about-us/leadership-biographies/biographies-detail/political-office-holders/02-minister
Amy Khor Lean Suan,https://www2.cifor.org/asia-pacific-rainforest-summit-2018/wp-content/uploads/sites/34/2018/04/web-amy-khor.jpg,989,https://mothership.sg/2020/04/amy-khor-clarifies-egg-hoarding-concern/
Mariam Jaafar,https://upload.wikimedia.org/wikipedia/commons/7/7e/Mariam_Jaafar.jpg,1000,https://www.bcg.com/en-sea/about/people/experts/mariam-jaafar
Muhammad Faishal Ibrahim,https://papneesoon.sg/wp-content/uploads/2015/02/prof.jpg,1000,https://www.facebook.com/muhammad.faishal.ibrahim1/
Joan Pereira,https://s3-ap-southeast-1.amazonaws.com/pap-dr-wp/2020/04/Joan-Cheng-Sim-Pereira.jpg,1000,https://en.wikipedia.org/wiki/Joan_Pereira
Poh Li San,https://scontent.fsin5-1.fna.fbcdn.net/v/t1.6435-9/205900325_374239700836161_2021715975942676498_n.jpg?_nc_cat=105&ccb=1-5&_nc_sid=09cbfe&_nc_ohc=wjx4WYgoctwAX8XwT8n&_nc_oc=AQlD8LiLkg65QNPG04HE0eIklTe10iIjnyjoAAEqzBTJn5B_TpZhtytO5C86f-yZU2aXAp98mC8GFR_k23horf5I&_nc_ht=scontent.fsin5-1.fna&oh=fa5e2e512966fb9b6a8523cc2de8bc2f&oe=613F0AA9,1000,https://www.straitstimes.com/politics/too-soon-to-tell-if-i-will-be-a-pap-candidate-says-changi-vp-poh-li-san
Pritam Singh,https://upload.wikimedia.org/wikipedia/commons/5/58/Pritam_Singh_Singapore_4_%28cropped%29.jpg,1000,https://www.channelnewsasia.com/singapore/leader-of-opposition-pritam-singh-duties-privileges-parliament-638081
Hany Soh,https://upload.wikimedia.org/wikipedia/commons/5/56/Hany_Soh.jpg,1000,https://www.youtube.com/watch?v=G56UheMbBE0&ab_channel=People%27sActionParty
Alvin Tan,https://www.uniconglobal.com/wp-content/uploads/2021/01/MOS-Alvin-Tan-headshot-2-edited.png,1000,https://www.youtube.com/watch?v=8E9X2t7emPw&ab_channel=MustShareNews
Desmond Tan,https://s3-ap-southeast-1.amazonaws.com/pap-dr-wp/2020/06/Desmond-Tan-Kok-Ming-1.jpg,1000,https://mustsharenews.com/desmond-tan-pap/
Teo Chee Hean,https://upload.wikimedia.org/wikipedia/commons/b/bc/Teo_Chee_Hean_2.jpg,1000,https://www.instagram.com/teocheehean/
Tan Kiat How,https://s3-ap-southeast-1.amazonaws.com/pap-dr-wp/2020/06/Tan-Kiat-How-1.jpg,1031,https://www.instagram.com/kiathowsg/
Sim Ann,https://upload.wikimedia.org/wikipedia/commons/9/90/Sim_Ann_5_%28cropped%29.jpg,984,https://www.mfa.gov.sg/About-MFA/Organisation-Chart/Sim-Ann
